데이터필드명,타입
기준년월,Char
발급회원번호,Char
남녀구분코드,Char
연령,Char
VIP등급코드,Char
최상위카드등급코드,Char
회원여부_이용가능,Char
회원여부_이용가능_CA,Char
회원여부_이용가능_카드론,Char
소지여부_신용,Char
소지카드수_유효_신용,Int
소지카드수_이용가능_신용,Int
입회일자_신용,Char
입회경과개월수_신용,Int
유치경로코드_신용,Char
자사카드자격코드,Char
BL여부,Char
대표BL코드_ACCOUNT,Char
회원여부_연체,Char
이용거절여부_카드론,Char
수신거부여부_TM,Char
수신거부여부_DM,Char
수신거부여부_메일,Char
수신거부여부_SMS,Char
가입통신회사코드,Char
탈회횟수_누적,Int
최종탈회후경과월,Int
탈회횟수_발급6개월이내,Int
탈회횟수_발급1년이내,Int
거주시도명,Char
직장시도명,Char
마케팅동의여부,Char
유효카드수_신용체크,Int
유효카드수_신용,Int
유효카드수_신용_가족,Int
유효카드수_체크,Int
유효카드수_체크_가족,Int
이용가능카드수_신용체크,Int
이용가능카드수_신용,Int
이용가능카드수_신용_가족,Int
이용가능카드수_체크,Int
이용가능카드수_체크_가족,Int
이용카드수_신용체크,Int
이용카드수_신용,Int
이용카드수_신용_가족,Int
이용카드수_체크,Int
이용카드수_체크_가족,Int
이용금액_R3M_신용체크,Int
이용금액_R3M_신용,Int
이용금액_R3M_신용_가족,Int
이용금액_R3M_체크,Int
이용금액_R3M_체크_가족,Int
_1순위카드상품종류코드,Char
_1순위카드이용금액,Int
_1순위카드이용건수,Int
_1순위신용체크구분,Char
_1순위카드유효년월,Char
_2순위카드상품종류코드,Char
_2순위카드이용금액,Int
_2순위카드이용건수,Int
_2순위신용체크구분,Char
_2순위카드유효년월,Char
최종유효년월_신용_이용가능,Char
최종유효년월_신용_이용,Char
최종카드발급일자,Char
최종카드상품종류코드,Char
보유여부_해외겸용_본인,Char
이용가능여부_해외겸용_본인,Char
이용여부_3M_해외겸용_본인,Char
보유여부_해외겸용_신용_본인,Char
이용가능여부_해외겸용_신용_본인,Char
이용여부_3M_해외겸용_신용_본인,Char
연회비발생카드수_B0M,Int
연회비할인카드수_B0M,Int
기본연회비_B0M,Int
제휴연회비_B0M,Int
할인금액_기본연회비_B0M,Int
할인금액_제휴연회비_B0M,Int
청구금액_기본연회비_B0M,Int
청구금액_제휴연회비_B0M,Int
상품관련면제카드수_B0M,Int
임직원면제카드수_B0M,Int
우수회원면제카드수_B0M,Int
기타면제카드수_B0M,Int
Life_Stage,Char
최초한도금액,Int
카드이용한도금액,Int
CA한도금액,Int
일시상환론한도금액,Int
월상환론한도금액,Int
CA이자율_할인전,Num
CL이자율_할인전,Num
RV일시불이자율_할인전,Num
RV현금서비스이자율_할인전,Num
RV신청일자,Char
RV약정청구율,Num
RV최소결제비율,Num
자발한도감액횟수_R12M,Int
자발한도감액금액_R12M,Int
자발한도감액후경과월,Int
강제한도감액횟수_R12M,Int
강제한도감액금액_R12M,Int
